rid,PrimaryKey,DBKey,ProjectKey,DateVisited,EcologicalSiteId,PercentCoveredByEcoSite,Latitude_NAD83,Longitude_NAD83,LocationStatus,LocationType,Latitude_NAD83_Actual,Longitude_NAD83_Actual,BareSoilCover,TotalFoliarCover,AH_AnnGrassCover,AH_ForbCover,AH_GrassCover,AH_PerenForbCover,AH_PerenForbGrassCover,AH_PerenGrassCover,AH_ShrubCover,FH_CyanobacteriaCover,FH_DepSoilCover,FH_DuffCover,FH_EmbLitterCover,FH_HerbLitterCover,FH_LichenCover,FH_MossCover,FH_RockCover,FH_TotalLitterCover,FH_VagrLichenCover,FH_WaterCover,FH_WoodyLitterCover,GapCover_101_200,GapCover_200_plus,GapCover_25_50,GapCover_25_plus,GapCover_51_100,Hgt_Forb_Avg,Hgt_Grass_Avg,Hgt_Herbaceous_Avg,Hgt_PerenForb_Avg,Hgt_PerenForbGrass_Avg,Hgt_PerenGrass_Avg,Hgt_Woody_Avg,RH_AnnualProd,RH_BareGround,RH_BioticIntegrity,RH_CommentsBI,RH_CommentsHF,RH_CommentsSS,RH_Compaction,RH_DeadDyingPlantParts,RH_FuncSructGroup,RH_Gullies,RH_HydrologicFunction,RH_InvasivePlants,RH_LitterAmount,RH_LitterMovement,RH_PedestalsTerracettes,RH_PlantCommunityComp,RH_ReprodCapabilityPeren,RH_Rills,RH_SoilSiteStability,RH_SoilSurfLossDeg,RH_SoilSurfResisErosion,RH_WaterFlowPatterns,RH_WindScouredAreas,SoilStability_All,SoilStability_Protected,SoilStability_Unprotected,DateLoadedInDb,mlra_name,mlrarsym,na_l1name,na_l2name,us_l3name,us_l4name,State,modis_landcover,horizontal_flux_total_MD,vertical_flux_MD,PM2_5_MD,PM10_MD
17984,16050914243294582016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-05-10T00:00:00.000Z,R025XY010ID,NA,42.1400274,-114.6169374,NA,NA,NA,NA,3.33333333,78,42.66666667,10,66.66666667,4.66666667,34,30,14,0,0,0,0,18,0,0,0.66666667,18,0,0,0,NA,NA,NA,NA,NA,24.75,32.04166667,31,22,32.34782609,32.81818182,32.83333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11111111,1.78571429,3.25,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.000697055,0,0,0
17985,16051208271334162016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-05-17T00:00:00.000Z,R025XY003ID,NA,42.17533693,-114.6231706,NA,NA,NA,NA,20,60.66666667,20,8.66666667,32,2,20.66666667,18.66666667,27.33333333,0,0,0,0,9.33333333,2,0,6,11.33333333,0,0,2,NA,NA,NA,NA,NA,NA,36.66666667,36.66666667,NA,37.37931034,37.37931034,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22222222,2.83333333,4,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.014314263,0,0,0
17986,16051809241992672016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-05-18T00:00:00.000Z,R025XY011ID,NA,42.11477526,-114.6382143,NA,NA,NA,NA,0.66666667,91.33333333,18,18,82,11.33333333,72,70,16,0,0,0,0,5.33333333,0,0,2.66666667,5.33333333,0,0,0,0,0,0,0,0,38,36.23076923,36.4137931,38,38.6,38.68181818,44.64705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.6,2,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.001445862,0,0,0
17987,16060710475485122016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-07T00:00:00.000Z,R011XY001ID,NA,42.07058166,-114.6876198,NA,NA,NA,NA,3.33333333,92,60,46,80.66666667,26.66666667,57.33333333,33.33333333,6,0,0,0,0,4.66666667,0,0,0,4.66666667,0,0,0,NA,NA,NA,NA,NA,75.33333333,40.33333333,61.33333333,71,43.71428571,39.16666667,47.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38888889,4.63636364,4,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0,0,0,0
17988,16060807481358102016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-08T00:00:00.000Z,R025XY007ID,NA,42.00208547,-114.6498569,NA,NA,NA,NA,24,61.33333333,6.66666667,6.66666667,41.33333333,0,34.66666667,34.66666667,6.66666667,0,0,0,0,12,0.66666667,0,1.33333333,12.66666667,0,0,0.66666667,NA,NA,NA,NA,NA,14.5,35.66666667,33.53333333,NA,37.41666667,37.41666667,47.27272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52941176,2.2,3,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.02736035,0,0,0
17989,16060908141248442016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-15T00:00:00.000Z,R025XY039ID,NA,42.02694419,-114.4432672,NA,NA,NA,NA,1.33333333,93.33333333,0,40,64.66666667,26,75.33333333,64.66666667,14,0,0,0,0,5.33333333,0,0,0,5.33333333,0,0,0,0,0,0,0,0,29.84615385,35.66666667,33.66666667,31.54545455,33.69565217,35.66666667,47.35714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83333333,4.07692308,3.2,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0,0,0,0
17990,16061608551597232016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-16T00:00:00.000Z,R025XY043ID,NA,42.02295,-114.4481901,NA,NA,NA,NA,4,76,10.66666667,16.66666667,60.66666667,14,59.33333333,52,21.33333333,0,0,0,0,17.33333333,0,0,2.66666667,17.33333333,0,0,0,NA,NA,NA,NA,NA,41,39.88461538,39.96428571,41,40.26923077,40.20833333,38.13043478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22222222,3.30769231,3,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.000280483,0,0,0
17992,16053117322963632016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-05-31T00:00:00.000Z,R025XY003ID,NA,42.01930486,-114.4946015,NA,NA,NA,NA,20.66666667,57.33333333,0,5.33333333,50.66666667,0.66666667,51.33333333,50.66666667,8,0,0,0,0,10,0.66666667,0,10.66666667,10.66666667,0,0,0.66666667,NA,NA,NA,NA,NA,NA,28.8,28.8,NA,28.8,28.8,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61111111,5.2,3.875,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.011501753,0,0,0
17993,16060115534744772016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-02T00:00:00.000Z,R025XY010ID,NA,42.08457159,-114.4762904,NA,NA,NA,NA,9.33333333,79.33333333,0,27.33333333,62.66666667,18.66666667,72,62.66666667,16.66666667,0,0,0,0,10.66666667,0,0,0.66666667,10.66666667,0,0,0,NA,NA,NA,NA,NA,NA,36.73333333,36.73333333,NA,36.73333333,36.73333333,34.57142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72222222,5.2,4.125,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.001227653,0,0,0
17994,16060615251566032016-09-01,ID_BurleyFO_LUP_2016_5.4_01.mdb,BLM_AIM,2016-06-06T00:00:00.000Z,R011AY014ID,NA,42.06195607,-114.736085,NA,NA,NA,NA,18,56.66666667,7.33333333,0,55.33333333,0,49.33333333,49.33333333,12.66666667,0,0,0,0,24,0,0,1.33333333,24,0,0,0,NA,NA,NA,NA,NA,NA,44.56666667,44.56666667,NA,45.82758621,45.82758621,45.57142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38888889,2.33333333,2.44444444,2022-07-31T00:00:00.000Z,Owyhee High Plateau,25,NORTH AMERICAN DESERTS,COLD DESERTS,Northern Basin and Range,Dissected High Lava Plateau,ID,Grasslands,0.005267855,0,0,0
