"MLRA","Ecological site ID","Ecological site legacy ID","Property","Measurement unit","Representative low","Representative high","Range low","Range high","Average"
"042A","R042AB263TX","R042AB263TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB263TX","R042AB263TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB263TX","R042AB263TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB264TX","R042AB264TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB264TX","R042AB264TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB264TX","R042AB264TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB586TX","R042AB586TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB586TX","R042AB586TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB586TX","R042AB586TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB733TX","R042AB733TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB733TX","R042AB733TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB733TX","R042AB733TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB734TX","R042AB734TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB734TX","R042AB734TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB734TX","R042AB734TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB735TX","R042AB735TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB735TX","R042AB735TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB735TX","R042AB735TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB736TX","R042AB736TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB736TX","R042AB736TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB736TX","R042AB736TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB737TX","R042AB737TX","mean annual precipitation",NA,NA,NA,NA,NA,12
"042A","R042AB737TX","R042AB737TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB737TX","R042AB737TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB738TX","R042AB738TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB738TX","R042AB738TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB738TX","R042AB738TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AB739TX","R042AB739TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AB739TX","R042AB739TX","frost free days",NA,NA,NA,NA,NA,295
"042A","R042AB739TX","R042AB739TX","freeze free days",NA,NA,NA,NA,NA,334
"042A","R042AC241TX","R042AC241TX","mean annual precipitation",NA,NA,NA,NA,NA,13
"042A","R042AC241TX","R042AC241TX","frost free days",NA,NA,NA,NA,NA,241
"042A","R042AC241TX","R042AC241TX","freeze free days",NA,NA,NA,NA,NA,218
"042A","R042AC244TX","R042AC244TX","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AC244TX","R042AC244TX","frost free days",NA,NA,NA,NA,NA,232
"042A","R042AC244TX","R042AC244TX","freeze free days",NA,NA,NA,NA,NA,255
"042A","R042AC247TX","R042AC247TX","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AC247TX","R042AC247TX","frost free days",NA,NA,NA,NA,NA,232
"042A","R042AC247TX","R042AC247TX","freeze free days",NA,NA,NA,NA,NA,255
"042A","R042AC249TX","R042AC249TX","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AC249TX","R042AC249TX","frost free days",NA,NA,NA,NA,NA,232
"042A","R042AC249TX","R042AC249TX","freeze free days",NA,NA,NA,NA,NA,255
"042A","R042AC255TX","R042AC255TX","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AC255TX","R042AC255TX","frost free days",NA,NA,NA,NA,NA,232
"042A","R042AC255TX","R042AC255TX","freeze free days",NA,NA,NA,NA,NA,255
"042A","R042AD001NM","R042AD001NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD001NM","R042AD001NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD001NM","R042AD001NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD002NM","R042AD002NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD002NM","R042AD002NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD002NM","R042AD002NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD003NM","R042AD003NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD003NM","R042AD003NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD003NM","R042AD003NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD004NM","R042AD004NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD004NM","R042AD004NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD004NM","R042AD004NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD005NM","R042AD005NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD005NM","R042AD005NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD005NM","R042AD005NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD006NM","R042AD006NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD006NM","R042AD006NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD006NM","R042AD006NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD007NM","R042AD007NM","mean annual precipitation",NA,NA,NA,NA,NA,14
"042A","R042AD007NM","R042AD007NM","frost free days",NA,NA,NA,NA,NA,180
"042A","R042AD007NM","R042AD007NM","freeze free days",NA,NA,NA,NA,NA,185
"042A","R042AD008NM","R042AD008NM","mean annual precipitation",NA,NA,NA,NA,NA,14
