"rid","PrimaryKey","DBKey","ProjectKey","DateVisited","EcologicalSiteId","PercentCoveredByEcoSite","Latitude_NAD83","Longitude_NAD83","LocationStatus","LocationType","Latitude_NAD83_Actual","Longitude_NAD83_Actual","BareSoilCover","TotalFoliarCover","AH_AnnGrassCover","AH_ForbCover","AH_GrassCover","AH_PerenForbCover","AH_PerenForbGrassCover","AH_PerenGrassCover","AH_ShrubCover","FH_CyanobacteriaCover","FH_DepSoilCover","FH_DuffCover","FH_EmbLitterCover","FH_HerbLitterCover","FH_LichenCover","FH_MossCover","FH_RockCover","FH_TotalLitterCover","FH_VagrLichenCover","FH_WaterCover","FH_WoodyLitterCover","GapCover_101_200","GapCover_200_plus","GapCover_25_50","GapCover_25_plus","GapCover_51_100","Hgt_Forb_Avg","Hgt_Grass_Avg","Hgt_Herbaceous_Avg","Hgt_PerenForb_Avg","Hgt_PerenForbGrass_Avg","Hgt_PerenGrass_Avg","Hgt_Woody_Avg","RH_AnnualProd","RH_BareGround","RH_BioticIntegrity","RH_CommentsBI","RH_CommentsHF","RH_CommentsSS","RH_Compaction","RH_DeadDyingPlantParts","RH_FuncSructGroup","RH_Gullies","RH_HydrologicFunction","RH_InvasivePlants","RH_LitterAmount","RH_LitterMovement","RH_PedestalsTerracettes","RH_PlantCommunityComp","RH_ReprodCapabilityPeren","RH_Rills","RH_SoilSiteStability","RH_SoilSurfLossDeg","RH_SoilSurfResisErosion","RH_WaterFlowPatterns","RH_WindScouredAreas","SoilStability_All","SoilStability_Protected","SoilStability_Unprotected","DateLoadedInDb","mlra_name","mlrarsym","na_l1name","na_l2name","us_l3name","us_l4name","State","modis_landcover","horizontal_flux_total_MD","vertical_flux_MD","PM2_5_MD","PM10_MD","corrected_ecosite_id","corrected_mlra"
110605,"1611141556434902016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-06,"R042XB012NM",NA,32.0177,-107.09945,NA,NA,NA,NA,21.33333333,57.33333333,27,8.33333333,53.66666667,0.66666667,32,31.66666667,3,0,0,0,0,15,0,0,5.66666667,15.66666667,0,0,0.66666667,20.22666667,62.66666667,1.57333333,90.70666667,6.24,NA,39.2,39.2,NA,40.60714286,40.60714286,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.83333333,1.33333333,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Low Mountains and Bajadas","NM","Open Shrublands",4.44793912211918,7.82094059816291e-05,2.42382908718277e-05,5.50017104546038e-05,"R042BB012NM","042B"
110606,"16111616394616792016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-08,"R042XB035NM",NA,32.321095,-106.582244,NA,NA,NA,NA,0,91.33333333,1.33333333,9,80.66666667,2.66666667,80.66666667,79.66666667,6.33333333,0,0,0,0,4.66666667,0,0,4,4.66666667,0,0,0,13.65333333,4.48,9.82666667,48.26666667,20.30666667,82.5,81.25,81.33333333,110,82.24137931,81.25,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45454545,4.25,5,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Montane Woodlands","NM","Savannas",0,0,0,0,"R042BB035NM","042B"
110607,"16111616402732582016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-11-08,"R042XB035NM",NA,32.31033,-106.581646,NA,NA,NA,NA,0.33333333,86.33333333,0,6.33333333,78.66666667,0.66666667,79,78.66666667,1,0,0,0,0,8.33333333,0,0,4.66666667,8.66666667,0,0,0.33333333,6.81333333,14.52,13,46.46666667,12.13333333,41,71.85714286,69.8,NA,71.85714286,71.85714286,22.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55555556,4.5,4.66666667,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Montane Woodlands","NM","Woody Savannas",0.00083245016041493,0,0,0,"R042BB035NM","042B"
110608,"16102714453525922016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-10-24,"R042XB011NM",NA,31.9008,-107.3391,NA,NA,NA,NA,38.66666667,37.66666667,7.33333333,13,10.66666667,0.66666667,4,3.33333333,10,0,0,0,0,21.33333333,0,0,0,23.66666667,0,0,2.33333333,11.41333333,65.10666667,2.93333333,87.28,7.82666667,20.43478261,45,24.07407407,44,44.8,45,85.42857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88888889,4.33333333,1.4,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Open Shrublands",7.24913145081747,5.48255491698813e-05,1.6393261062492e-05,3.84104148383991e-05,"R042BB011NM","042B"
110609,"16102716152679242016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-10-23,"R042XC036NM",NA,31.84574,-107.49332,NA,NA,NA,NA,49.66666667,17,7.33333333,6.66666667,7.33333333,0,0,0,1,0,0,0,0,10.66666667,0,0,21.66666667,11.66666667,0,0,1,5.22666667,90.26666667,0.65333333,97,0.85333333,16.16666667,20,18.08333333,NA,NA,NA,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,5.5,2.125,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Woody Savannas",112.082441818994,0.00873174453014549,0.00270651435570784,0.00614109745717317,"R070BC036NM","070B"
110610,"16102716461144672016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-10-23,"R042XC036NM",NA,31.8079,-107.4659,NA,NA,NA,NA,40.33333333,8.33333333,3.66666667,1.66666667,3.66666667,0,0,0,3.33333333,0,0,0,0,4.66666667,0,0,46.66666667,4.66666667,0,0,0,0,96.09333333,0,96.09333333,0,1,12.2,10.33333333,1,1,NA,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.5,2.25,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Open Shrublands",338.13771657819,0.0721680738590521,0.0223696096376728,0.0507565108127491,"R070BC036NM","070B"
110611,"16081110402163562016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-08-10,"R042XB024NM",NA,32.427767,-106.798867,NA,NA,NA,NA,5,31,0,4.66666667,0,4.66666667,4.66666667,0,26,0,0,0,0,5.33333333,0,0,57.66666667,6.33333333,0,0,1,17.72,55.84,2.09333333,85.73333333,10.08,23.77777778,NA,23.77777778,23.77777778,23.77777778,NA,63.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333,2.66666667,2.26666667,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Grasslands",0.519207107704875,1.66337475942472e-06,0,0,"R042BB024NM","042B"
110612,"16081114554791692016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-08-10,"R042XB010NM",NA,32.424304,-106.786187,NA,NA,NA,NA,8,26.33333333,0,3.66666667,2.66666667,3.33333333,5.66666667,2.66666667,20.66666667,0,0,0,0,11.66666667,0,0,52.33333333,13.33333333,0,0,1.66666667,20.29333333,51.64,3.61333333,85.61333333,10.06666667,14.85714286,15.8,15.25,15.16666667,15.45454545,15.8,44.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333,2,2.375,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Savannas",2.27821392965565,1.74693248079835e-05,0,5.90684531883338e-06,"R042BB010NM","042B"
110613,"16090712373970722016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-08-31,"R042XB037NM",NA,32.1122,-107.2002,NA,NA,NA,NA,56,16,2,14.33333333,2,2,2,0,0,0,0,0,0,22.33333333,0,0,5.33333333,22.66666667,0,0,0.33333333,9.12,76.2,1.06666667,94.88,8.49333333,19.16,4.5,17.13793103,10.6,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61111111,2,2.6875,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Low Mountains and Bajadas","NM","Open Shrublands",59.9663284665473,0.00185467817150126,0.00055456596611761,0.00129939738242259,"R042BB037NM","042B"
110614,"16101214200883052016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","BLM_AIM",2016-10-11,"R042XB023NM",NA,32.4472,-107.1563,NA,NA,NA,NA,26,65.33333333,2,0.66666667,56.66666667,0.33333333,56,55.66666667,17.33333333,0,0,0,0,5.66666667,0,0,1.33333333,7.33333333,0,0,1.66666667,6.49333333,22.30666667,4.58666667,40.58666667,7.2,NA,55.5,55.5,NA,55.5,55.5,81.83333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55555556,4.30769231,1.6,2023-10-31,"Southern Desertic Basins, Plains, and Mountains",42,"NORTH AMERICAN DESERTS","WARM DESERTS","Chihuahuan Deserts","Chihuahuan Basins and Playas","NM","Open Shrublands",0.392254487297213,0,0,0,"R042BB023NM","042B"
