MLRA	"Ecological site ID"	"Ecological site legacy ID"	Synonym	Legacy	Date
003X	F003XD805OR	F003XD805OR	F006XY805OR	No	2020-08-31
003X	F003XD805OR	F003XD805OR	F006XY805OR	Yes	2020-08-31
003X	F003XD806OR	F003XD806OR	F006XY806OR	No	2020-08-31
003X	F003XD806OR	F003XD806OR	F006XY806OR	Yes	2020-08-31
004A	R004AB406OR	R004AB406OR	F004AB406OR	No	2020-05-27
004A	R004AB406OR	R004AB406OR	F004AB406OR	Yes	2020-05-27
004B	R004BC009CA	R004BC009CA	R004XC009CA	No	2021-05-11
004B	R004BC009CA	R004BC009CA	R004XC009CA	Yes	2021-05-11
004B	R004BC019CA	R004BC019CA	R004XC019CA	No	2021-05-11
004B	R004BC019CA	R004BC019CA	R004XC019CA	Yes	2021-05-11
004B	R004BC030CA	R004BC030CA	R004XC030CA	No	2021-05-11
004B	R004BC030CA	R004BC030CA	R004XC030CA	Yes	2021-05-11
004B	R004BY057CA	R004BY057CA	R004XB057CA	No	2021-05-11
004B	R004BY057CA	R004BY057CA	R004XB057CA	Yes	2021-05-11
004B	R004BY058CA	R004BY058CA	R004XB058CA	Yes	2021-05-11
004B	R004BY058CA	R004BY058CA	R004XB058CA	No	2021-05-11
004B	R004BY059CA	R004BY059CA	R004XB059CA	No	2021-05-11
004B	R004BY059CA	R004BY059CA	R004XB059CA	Yes	2021-05-11
004B	R004BY060CA	R004BY060CA	R004XB060CA	No	2021-05-11
004B	R004BY060CA	R004BY060CA	R004XB060CA	Yes	2021-05-11
004B	R004BY061CA	R004BY061CA	R004XB061CA	No	2021-05-11
004B	R004BY061CA	R004BY061CA	R004XB061CA	Yes	2021-05-11
004B	R004BY062CA	R004BY062CA	R004XB062CA	No	2021-05-11
004B	R004BY062CA	R004BY062CA	R004XB062CA	Yes	2021-05-11
004B	R004BY063CA	R004BY063CA	R004XB063CA	No	2021-05-11
004B	R004BY063CA	R004BY063CA	R004XB063CA	Yes	2021-05-11
004B	R004BY064CA	R004BY064CA	R004XB064CA	No	2021-05-11
004B	R004BY064CA	R004BY064CA	R004XB064CA	Yes	2021-05-11
004B	R004BY065CA	R004BY065CA	R004XB065CA	No	2021-05-11
004B	R004BY065CA	R004BY065CA	R004XB065CA	Yes	2021-05-11
004B	R004BY066CA	R004BY066CA	R004XB066CA	No	2021-05-11
004B	R004BY066CA	R004BY066CA	R004XB066CA	Yes	2021-05-11
004B	R004BY067CA	R004BY067CA	R004XB067CA	No	2021-05-11
004B	R004BY067CA	R004BY067CA	R004XB067CA	Yes	2021-05-11
004B	R004BY068CA	R004BY068CA	R004XB068CA	No	2021-05-11
004B	R004BY068CA	R004BY068CA	R004XB068CA	Yes	2021-05-11
004B	R004BY069CA	R004BY069CA	R004XB069CA	No	2021-05-11
004B	R004BY069CA	R004BY069CA	R004XB069CA	Yes	2021-05-11
005X	R005XZ016CA	R005XZ016CA	R005XY016CA	No	2020-11-11
005X	R005XZ016CA	R005XZ016CA	R005XY016CA	Yes	2020-11-11
006X	F006XA005WA	F006XA005WA	F006XA005OR	No	2020-10-16
006X	F006XA005WA	F006XA005WA	F006XA005OR	Yes	2020-10-16
006X	F006XA803OR	F006XA803OR	F006XY803OR	No	2020-08-26
006X	F006XA803OR	F006XA803OR	F006XY803OR	Yes	2020-08-26
006X	F006XA804OR	F006XA804OR	F006XY804OR	No	2020-08-26
006X	F006XA804OR	F006XA804OR	F006XY804OR	Yes	2020-08-26
006X	F006XB800OR	F006XB800OR	F006XY800OR	No	2020-08-26
006X	F006XB800OR	F006XB800OR	F006XY800OR	Yes	2020-08-26
006X	F006XB801OR	F006XB801OR	F006XY801OR	No	2020-08-26
006X	F006XB801OR	F006XB801OR	F006XY801OR	Yes	2020-08-26
006X	F006XB802OR	F006XB802OR	F006XY802OR	No	2020-08-26
006X	F006XB802OR	F006XB802OR	F006XY802OR	Yes	2020-08-26
006X	F006XE807OR	F006XE807OR	F006XY807OR	No	2020-08-26
006X	F006XE807OR	F006XE807OR	F006XY807OR	Yes	2020-08-26
006X	F006XY709OR	F006XY709OR	F006XY709OR	No	2022-08-03
006X	F006XY709OR	F006XY709OR	F006XY709OR	Yes	2022-08-03
006X	F006XY709OR	F006XY709OR	R006XY709OR	No	2022-08-03
006X	F006XY709OR	F006XY709OR	R006XY709OR	Yes	2022-08-03
006X	R006XY603WA	R006XY603WA	R006XY603WA	No	2022-07-25
006X	R006XY603WA	R006XY603WA	R006XY603WA	Yes	2022-07-25
006X	R006XY603WA	R006XY603WA	R006XZ603WA	No	2022-08-01
006X	R006XY603WA	R006XY603WA	R006XZ603WA	Yes	2022-08-01
007X	R007XY102WA	R007XY102WA	R007XY102WA	No	2022-07-25
007X	R007XY102WA	R007XY102WA	R007XY102WA	Yes	2022-07-25
007X	R007XY102WA	R007XY102WA	R007XY102VA	No	2023-10-27
007X	R007XY102WA	R007XY102WA	R007XY102VA	Yes	2023-10-27
008X	R008XY220OR	R008XY220OR	R008XY220OR	No	2022-07-25
008X	R008XY220OR	R008XY220OR	R008XY220OR	Yes	2022-07-25
008X	R008XY220OR	R008XY220OR	R008XX220OR	No	2022-08-01
008X	R008XY220OR	R008XY220OR	R008XX220OR	Yes	2022-08-01
009X	R009XA153WA	R009XA153WA	R009XY153WA	No	2020-10-07
009X	R009XA153WA	R009XA153WA	R009XY153WA	Yes	2020-10-07
009X	R009XA220WA	R009XA220WA	R009XY220WA	No	2020-10-07
009X	R009XA220WA	R009XA220WA	R009XY220WA	Yes	2020-10-07
009X	R009XY008OR	R009XY008OR	R009XY008OR	No	2022-07-25
009X	R009XY008OR	R009XY008OR	R009XY008OR	Yes	2022-07-25
009X	R009XY008OR	R009XY008OR	R009XX008OR	No	2022-07-29
009X	R009XY008OR	R009XY008OR	R009XX008OR	Yes	2022-07-29
010X	R010XA001ID	R010XA001ID	R010AY001ID	No	2020-12-22
010X	R010XA001ID	R010XA001ID	R010AY001ID	Yes	2020-12-22
010X	R010XA002ID	R010XA002ID	R010AY002ID	No	2020-12-17
010X	R010XA002ID	R010XA002ID	R010AY002ID	Yes	2020-12-17
010X	R010XA002ID	R010XA002ID	R010XA002ID	No	2022-04-22
010X	R010XA002ID	R010XA002ID	R010XA002ID	Yes	2022-04-22
010X	R010XA002ID	R010XA002ID	R002XA002ID	No	2022-05-05
010X	R010XA002ID	R010XA002ID	R002XA002ID	Yes	2022-05-05
010X	R010XA003ID	R010XA003ID	R010AY003ID	No	2020-12-17
010X	R010XA003ID	R010XA003ID	R010AY003ID	Yes	2020-12-17
010X	R010XA004ID	R010XA004ID	R010AY004ID	No	2020-12-17
010X	R010XA004ID	R010XA004ID	R010AY004ID	Yes	2020-12-17
010X	R010XA008ID	R010XA008ID	R010AY008ID	No	2020-12-17
010X	R010XA008ID	R010XA008ID	R010AY008ID	Yes	2020-12-17
010X	R010XA009ID	R010XA009ID	R010AY009ID	No	2020-12-17
010X	R010XA009ID	R010XA009ID	R010AY009ID	Yes	2020-12-17
010X	R010XA010ID	R010XA010ID	R010AY010ID	No	2020-12-17
010X	R010XA010ID	R010XA010ID	R010AY010ID	Yes	2020-12-17
010X	R010XA011ID	R010XA011ID	R010AY011ID	No	2020-12-17
010X	R010XA011ID	R010XA011ID	R010AY011ID	Yes	2020-12-17
010X	R010XA014ID	R010XA014ID	R010AY014ID	No	2020-12-17
010X	R010XA014ID	R010XA014ID	R010AY014ID	Yes	2020-12-17
010X	R010XA015ID	R010XA015ID	R010AY015ID	No	2020-12-17
010X	R010XA015ID	R010XA015ID	R010AY015ID	Yes	2020-12-17
010X	R010XA016ID	R010XA016ID	R010AY016ID	No	2020-12-22
010X	R010XA016ID	R010XA016ID	R010AY016ID	Yes	2020-12-22
010X	R010XA020ID	R010XA020ID	R010AY020ID	No	2020-12-17
010X	R010XA020ID	R010XA020ID	R010AY020ID	Yes	2020-12-17
010X	R010XA021ID	R010XA021ID	R010AY021ID	No	2020-12-17
010X	R010XA021ID	R010XA021ID	R010AY021ID	Yes	2020-12-17
010X	R010XA022ID	R010XA022ID	R010AY022ID	No	2020-12-17
010X	R010XA022ID	R010XA022ID	R010AY022ID	Yes	2020-12-17
010X	R010XA023ID	R010XA023ID	R010AY023ID	No	2020-12-22
010X	R010XA023ID	R010XA023ID	R010AY023ID	Yes	2020-12-22
010X	R010XA024ID	R010XA024ID	R010AY024ID	No	2020-12-22
010X	R010XA024ID	R010XA024ID	R010AY024ID	Yes	2020-12-22
010X	R010XA025ID	R010XA025ID	R010AY025ID	No	2020-12-22
010X	R010XA025ID	R010XA025ID	R010AY025ID	Yes	2020-12-22
010X	R010XA026ID	R010XA026ID	R010AY026ID	No	2020-12-22
010X	R010XA026ID	R010XA026ID	R010AY026ID	Yes	2020-12-22
010X	R010XA027ID	R010XA027ID	R010AY027ID	No	2020-12-22
010X	R010XA027ID	R010XA027ID	R010AY027ID	Yes	2020-12-22
010X	R010XA028ID	R010XA028ID	R010AY028ID	No	2020-12-22
010X	R010XA028ID	R010XA028ID	R010AY028ID	Yes	2020-12-22
010X	R010XA030ID	R010XA030ID	R010AY030ID	No	2020-12-22
010X	R010XA030ID	R010XA030ID	R010AY030ID	Yes	2020-12-22
010X	R010XA031ID	R010XA031ID	R010AY031ID	No	2020-12-22
010X	R010XA031ID	R010XA031ID	R010AY031ID	Yes	2020-12-22
010X	R010XA032ID	R010XA032ID	R010AY032ID	No	2020-12-22
010X	R010XA032ID	R010XA032ID	R010AY032ID	Yes	2020-12-22
010X	R010XA033ID	R010XA033ID	R010AY033ID	No	2020-12-22
010X	R010XA033ID	R010XA033ID	R010AY033ID	Yes	2020-12-22
010X	R010XA034ID	R010XA034ID	R010AY034ID	No	2020-12-22
010X	R010XA034ID	R010XA034ID	R010AY034ID	Yes	2020-12-22
010X	R010XA036ID	R010XA036ID	R010AY036ID	No	2020-12-22
010X	R010XA036ID	R010XA036ID	R010AY036ID	Yes	2020-12-22
010X	R010XA037ID	R010XA037ID	R010AY037ID	No	2020-12-22
010X	R010XA037ID	R010XA037ID	R010AY037ID	Yes	2020-12-22
010X	R010XA038ID	R010XA038ID	R010AY038ID	No	2020-12-22
010X	R010XA038ID	R010XA038ID	R010AY038ID	Yes	2020-12-22
010X	R010XA039ID	R010XA039ID	R010AY039ID	No	2020-12-22
010X	R010XA039ID	R010XA039ID	R010AY039ID	Yes	2020-12-22
010X	R010XA040ID	R010XA040ID	R010AY040ID	No	2020-12-22
010X	R010XA040ID	R010XA040ID	R010AY040ID	Yes	2020-12-22
010X	R010XA042ID	R010XA042ID	R010AY042ID	No	2020-12-22
010X	R010XA042ID	R010XA042ID	R010AY042ID	Yes	2020-12-22
010X	R010XA043ID	R010XA043ID	R010AY043ID	No	2020-12-22
010X	R010XA043ID	R010XA043ID	R010AY043ID	Yes	2020-12-22
010X	R010XA044ID	R010XA044ID	R010AY044ID	No	2020-12-22
010X	R010XA044ID	R010XA044ID	R010AY044ID	Yes	2020-12-22
010X	R010XA045ID	R010XA045ID	R010AY045ID	No	2020-12-22
010X	R010XA045ID	R010XA045ID	R010AY045ID	Yes	2020-12-22
010X	R010XA046ID	R010XA046ID	R010AY046ID	No	2020-12-22
010X	R010XA046ID	R010XA046ID	R010AY046ID	Yes	2020-12-22
010X	R010XA047ID	R010XA047ID	R010AY047ID	No	2020-12-22
010X	R010XA047ID	R010XA047ID	R010AY047ID	Yes	2020-12-22
010X	R010XA048ID	R010XA048ID	R010AY048ID	No	2020-12-22
010X	R010XA048ID	R010XA048ID	R010AY048ID	Yes	2020-12-22
010X	R010XA049ID	R010XA049ID	R010AY049ID	No	2020-12-22
010X	R010XA049ID	R010XA049ID	R010AY049ID	Yes	2020-12-22
010X	R010XA050ID	R010XA050ID	R010AY050ID	No	2020-12-22
010X	R010XA050ID	R010XA050ID	R010AY050ID	Yes	2020-12-22
010X	R010XY009OR	R010XY009OR	R009XY009OR	No	2022-07-29
010X	R010XY009OR	R010XY009OR	R009XY009OR	Yes	2022-07-29
010X	R010XY009OR	R010XY009OR	R010XY009OR	No	2022-07-29
010X	R010XY009OR	R010XY009OR	R010XY009OR	Yes	2022-07-29
011X	R011XA003ID	R011XA003ID	R011AY003ID	Yes	2018-12-11
011X	R011XA003ID	R011XA003ID	R011AY003ID	Yes	2020-04-06
011X	R011XA003ID	R011XA003ID	R011AY003ID	No	2022-07-28
011X	R011XA005ID	R011XA005ID	R011AY005ID	Yes	2018-12-11
011X	R011XA005ID	R011XA005ID	R011AY005ID	Yes	2020-04-06
011X	R011XA005ID	R011XA005ID	R011AY005ID	No	2022-07-28
011X	R011XA006ID	R011XA006ID	R011AY006ID	Yes	2018-12-11
011X	R011XA006ID	R011XA006ID	R011AY006ID	Yes	2020-04-06
011X	R011XA006ID	R011XA006ID	R011AY006ID	No	2022-07-28
011X	R011XA007ID	R011XA007ID	R011AY007ID	Yes	2018-12-11
011X	R011XA007ID	R011XA007ID	R011AY007ID	Yes	2020-04-06
011X	R011XA007ID	R011XA007ID	R011AY007ID	No	2022-07-28
011X	R011XA009ID	R011XA009ID	R011AY009ID	Yes	2018-12-11
011X	R011XA009ID	R011XA009ID	R011AY009ID	Yes	2020-04-06
011X	R011XA009ID	R011XA009ID	R011AY009ID	No	2022-07-28
011X	R011XA010ID	R011XA010ID	R011AY010ID	Yes	2018-12-11
011X	R011XA010ID	R011XA010ID	R011AY010ID	Yes	2020-04-06
011X	R011XA010ID	R011XA010ID	R011AY010ID	No	2022-07-28
011X	R011XA011ID	R011XA011ID	R011AY011ID	Yes	2018-12-11
011X	R011XA011ID	R011XA011ID	R011AY011ID	Yes	2020-04-06
011X	R011XA011ID	R011XA011ID	R011AY011ID	No	2022-07-28
011X	R011XA013ID	R011XA013ID	R011AY013ID	Yes	2018-12-11
011X	R011XA013ID	R011XA013ID	R011AY013ID	No	2021-10-07
011X	R011XA014ID	R011XA014ID	R011AY014ID	Yes	2018-12-11
011X	R011XA014ID	R011XA014ID	R011AY014ID	Yes	2020-04-06
011X	R011XA014ID	R011XA014ID	R011AY014ID	No	2022-07-28
011X	R011XA018ID	R011XA018ID	R011AY018ID	Yes	2018-12-11
011X	R011XA018ID	R011XA018ID	R011AY018ID	Yes	2020-04-06
011X	R011XA018ID	R011XA018ID	R011AY018ID	No	2022-07-28
011X	R011XB001ID	R011XB001ID	R011BY001ID	Yes	2018-12-11
011X	R011XB001ID	R011XB001ID	R011BY001ID	Yes	2020-04-06
011X	R011XB001ID	R011XB001ID	R011BY001ID	No	2021-10-07
011X	R011XB003ID	R011XB003ID	R011BY003ID	Yes	2018-12-11
011X	R011XB003ID	R011XB003ID	R011BY003ID	Yes	2020-04-06
011X	R011XB003ID	R011XB003ID	R011BY003ID	No	2022-07-28
011X	R011XB005ID	R011XB005ID	R011BY005ID	Yes	2018-12-11
011X	R011XB005ID	R011XB005ID	R011BY005ID	Yes	2020-04-06
011X	R011XB005ID	R011XB005ID	R011BY005ID	No	2022-07-28
011X	R011XB006ID	R011XB006ID	R011BY006ID	Yes	2018-12-11
011X	R011XB006ID	R011XB006ID	R011BY006ID	Yes	2020-04-06
011X	R011XB006ID	R011XB006ID	R011BY006ID	No	2022-07-28
011X	R011XB007ID	R011XB007ID	R011BY007ID	Yes	2018-12-11
011X	R011XB007ID	R011XB007ID	R011BY007ID	Yes	2020-04-06
011X	R011XB007ID	R011XB007ID	R011BY007ID	No	2022-07-28
011X	R011XB008ID	R011XB008ID	R011BY008ID	Yes	2018-12-11
011X	R011XB008ID	R011XB008ID	R011BY008ID	Yes	2020-04-06
011X	R011XB008ID	R011XB008ID	R011BY008ID	No	2022-07-28
011X	R011XB009ID	R011XB009ID	R011BY009ID	Yes	2018-12-11
011X	R011XB009ID	R011XB009ID	R011BY009ID	Yes	2020-04-06
011X	R011XB009ID	R011XB009ID	R011BY009ID	No	2022-07-28
011X	R011XB010ID	R011XB010ID	R011BY010ID	Yes	2018-12-11
011X	R011XB010ID	R011XB010ID	R011BY010ID	Yes	2020-04-06
011X	R011XB010ID	R011XB010ID	R011BY010ID	No	2022-07-28
011X	R011XB012ID	R011XB012ID	R011BY012ID	Yes	2018-12-11
011X	R011XB012ID	R011XB012ID	R011BY012ID	Yes	2020-04-06
011X	R011XB012ID	R011XB012ID	R011BY012ID	No	2022-07-28
011X	R011XB013ID	R011XB013ID	R011BY013ID	Yes	2018-12-11
011X	R011XB013ID	R011XB013ID	R011BY013ID	Yes	2020-04-06
011X	R011XB013ID	R011XB013ID	R011BY013ID	No	2022-07-28
011X	R011XB016ID	R011XB016ID	R011BY016ID	Yes	2018-12-11
011X	R011XB016ID	R011XB016ID	R011BY016ID	Yes	2020-04-06
011X	R011XB016ID	R011XB016ID	R011BY016ID	No	2022-07-28
011X	R011XB016ID	R011XB016ID	R011XB013ID	No	2022-07-28
011X	R011XB017ID	R011XB017ID	R011BY017ID	Yes	2018-12-11
011X	R011XB017ID	R011XB017ID	R011BY017ID	Yes	2020-04-06
011X	R011XB017ID	R011XB017ID	R011BY017ID	No	2022-07-28
