"SURVEY","STATE","COUNTY","PSU","POINT","MLRA","OWN","LANDUSE","VERTICAL_SLOPE_SHAPE","HORIZONTAL_SLOPE_SHAPE","SLOPE_PERCENT","SSAID","MUSYM","COMPONENT_NAME","COMPONENT_ID","ECO_SITE_1992","FULL_ESD_PLOT","APPARENT_TREND","BASAL_GAPS_NESW","CANOPY_GAPS_NESW","BASAL_GAPS_NWSE","CANOPY_GAPS_NWSE","PLOT_SIZE_HERB","TOT_ANN_PROD","SIMILARITY_INDEX","PTSTATUS","SOIL_CONFIDENCE_RATING","SLOPE_LENGTH","SLOPE_ASPECT","BIOMASS_PLOT_SIZE_HERB","BIOMASS_PLOT_METHOD","BIOMASS_WOODY_METHOD","GRAZING_USE","HAYED","OPT_SSI_PASTURE","OPT_DWR_PASTURE","OPT_DWR_RANGE","SAGE_EXISTS","PERENNIAL_CANOPY_GAPS_NESW","PERENNIAL_CANOPY_GAPS_NWSE","COMPONENT_HISTORICAL","COMPONENT_CHOSEN","COMPONENT_POPULATED","LANDUSE_SOURCE","GAPS_DIFFERENT_NESW","GAPS_DIFFERENT_NWSE","PLOTKEY","GlobalID","PrimaryKey","created_user","created_date","last_edited_user","last_edited_date","SpeciesState","DBKey"
2016,49,17,"203515B",1,"35","BLM",250,"convex","convex",45,"UT631","31","","","","N","notapp","","Y","","Y","",0,0,"CO",1,20,"NW","","","",1,"N","","","","","Y","Y","","Other","N","Field","N","N","20164917203515B1","{D3273393-DA66-4F92-8CFF-8089576C35BC}","20164917203515B1",NA,NA,"DBROWNING",2018-09-21 14:50:55,"UT","2016"
2016,49,17,"203515B",2,"35","BLM",250,"concave","linear",12,"UT631","31","","","","N","notapp","","Y","","Y","",0,0,"CO",1,75,"E","","","",1,"N","","","","","Y","Y","","Other","N","Field","N","N","20164917203515B2","{665BCFCD-562F-4298-B9BC-373698BAF01C}","20164917203515B2",NA,NA,"DBROWNING",2018-09-21 14:50:55,"UT","2016"
2016,49,17,"203620B",1,"35","BLM",250,"convex","linear",32,"UT631","106","","","","Y","away","Y","Y","Y","Y","",0,0,"CO",1,75,"SE","","","",1,"N","","","","","Y","Y","","Other","N","Field","Y","Y","20164917203620B1","{AB51A73F-1152-40BF-A20E-18B463F98B74}","20164917203620B1",NA,NA,"DBROWNING",2018-09-21 14:50:55,"UT","2016"
2016,49,17,"203620B",2,"35","BLM",250,"convex","convex",25,"UT631","3","","","","N","toward","","Y","","Y","",0,0,"CO",2,35,"NE","","","",1,"N","","","","","Y","Y","","12698823","N","Field","N","N","20164917203620B2","{239CB867-AFF2-4B2E-8316-AEA7D31DBE9B}","20164917203620B2",NA,NA,"DBROWNING",2018-09-21 14:50:55,"UT","2016"
2016,49,17,"203806B",1,"35","BLM",250,"convex","convex",30,"UT631","117","Mido LFS 4-15%","12699250","","N","away","","Y","","Y","",0,0,"CO",1,15,"W","","","",2,"N","","","","","Y","Y","","12699250","Y","Field","N","N","20164917203806B1","{7D0C96AB-C8F9-43B4-8F03-C384ABCC92C1}","20164917203806B1",NA,NA,"DBROWNING",2018-09-21 14:50:55,"UT","2016"
2016,49,17,"203806B",2,"35","BLM",250,"concave","concave",10,"UT631","117","","","","N","away","","Y","","Y","",0,0,"CO",1,10,"E","","","",1,"N","","","","","Y","Y","","Other","N","Field","N","N","20164917203806B2","{59233988-3795-49BF-84F4-C4FD920AC4E0}","20164917203806B2",NA,NA,"DBROWNING",2018-09-21 14:50:55,"UT","2016"
2016,49,27,"200101B",1,"28A","BLM",250,"convex","concave",7,"","","","","","N","notapp","","Y","","Y","",0,0,"CO",2,20,"S","","","",7,"N","","","","","Y","Y","","Other","N","Field","Y","Y","20164927200101B1","{6EA5FAE4-F87E-4054-8ADA-23A6514B3527}","20164927200101B1",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,27,"200117B",1,"28A","BLM",250,"linear","linear",3,"","","","","","N","notapp","","Y","","Y","",0,0,"CO",2,300,"SW","","","",9,"N","","","","","Y","Y","","Other","N","Field","Y","Y","20164927200117B1","{4631FABE-A575-4DB1-9204-F449A787126E}","20164927200117B1",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,27,"200117B",2,"28A","BLM",250,"linear","concave",0,"","","","","","N","notapp","","Y","","Y","",0,0,"CO",2,0,"","","","",9,"N","","","","","Y","Y","","Other","N","Field","Y","Y","20164927200117B2","{5C1D552A-499A-4CF7-94A7-1D5F5EB0C4C5}","20164927200117B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,27,"101415B",1,"47","BLM",250,"convex","convex",15,"UT618","108","Spager GR-VFSL 5-15%","12438174","","N","notapp","","Y","","Y","",0,0,"CO",2,30,"W","","","",2,"N","","","","","Y","Y","","12438174","Y","Field","Y","Y","20164927101415B1","{26AF6468-0865-4FF4-B903-15D246DAD189}","20164927101415B1",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,27,"101415B",2,"47","BLM",250,"concave","concave",7,"UT618","108","Spager GR-VFSL 5-15%","12438174","","N","notapp","","Y","","Y","",0,0,"CO",4,100,"S","","","",2,"N","","","","","Y","Y","","12438174","Y","Field","Y","Y","20164927101415B2","{FF99CDF9-4E59-40F1-B2B5-8C4C06A11C2C}","20164927101415B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
