"RecKey","SeqNo","RecType","GapStart","GapEnd","Gap","DateLoadedInDb","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"1904231035297961",1,"C",2388,2352,36,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231035297961",2,"C",2339,2292,47,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231035297961",3,"C",2057,1994,63,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231035297961",4,"C",1980,1939,41,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231035297961",5,"C",1932,1846,86,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231035297961",6,"C",1840,1795,45,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231035297961",7,"C",1628,1580,48,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231035297961",8,"C",1332,1203,129,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231035297961",9,"C",1075,909,166,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231035297961",10,"C",825,719,106,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231035297961",11,"C",578,542,36,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231035297961",12,"C",464,340,124,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231114296870",14,"C",2430,2380,50,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231114296870",15,"C",2207,2148,59,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231114296870",16,"C",2118,1960,158,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231114296870",17,"C",1895,1835,60,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231114296870",18,"C",1820,1465,355,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231114296870",19,"C",1463,1381,82,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231114296870",20,"C",1010,916,94,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231114296870",21,"C",750,669,81,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231114296870",22,"C",667,553,114,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231114296870",23,"C",544,523,21,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231114296870",24,"C",250,130,120,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231114296870",25,"C",115,82,33,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",26,"C",2500,2448,52,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",27,"C",2285,2216,69,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",28,"C",2100,2063,37,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",29,"C",2060,1918,142,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",30,"C",1907,1715,192,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",31,"C",1708,1665,43,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",32,"C",1368,1320,48,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",33,"C",1234,1190,44,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",34,"C",1142,1105,37,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",35,"C",1103,1075,28,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",36,"C",1073,1038,35,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",37,"C",1036,980,56,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",38,"C",535,450,85,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",39,"C",448,319,129,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904231141211676",40,"C",66,33,33,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241002237120",41,"C",1785,1446,339,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241002237120",42,"C",1442,1416,26,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241002237120",43,"C",1411,1170,241,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241002237120",44,"C",720,192,528,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241002237120",45,"C",70,0,70,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",46,"C",1968,1930,38,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",47,"C",1928,1843,85,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",48,"C",1839,1738,101,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",49,"C",1625,1582,43,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",50,"C",1518,1493,25,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",51,"C",1478,1428,50,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",52,"C",1415,1356,59,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",53,"C",1353,1201,152,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",54,"C",1198,1085,113,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",55,"C",1083,958,125,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",56,"C",955,502,453,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
