"PlotKey","RecKey","DateModified","FormType","FormDate","LineKey","SoilStabSubSurface","Notes","DateLoadedInDb","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"1904230855013196","1904251218162998",2019-04-25 06:50:37,"Soil",2019-04-22 18:00:00,NA,1,NA,"2019-09-01","19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1904240853192608","190425123328354",2019-04-25 07:00:44,"Soil",2019-04-23 18:00:00,NA,1,"OPPO at line 3 point 24.   Samples under trees covered in duff.","2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1905031204175116","190507084020429",2019-05-07 07:05:27,"Soil",2019-05-02 18:00:00,NA,1,"Line 3 positions 8-20 contained small parts of crytobiotic soil.","2019-09-01","19050312041751162019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1905021444547115","1905071031006034",2019-05-07 06:55:33,"Soil",2019-05-01 18:00:00,NA,1,"Just recorded cover/no cover; did not specify type of cover.","2019-09-01","19050214445471152019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1905020836188041","1905071120576664",2019-05-07 07:49:53,"Soil",2019-05-01 18:00:00,NA,1,NA,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1905041007383200","1905071203092786",2019-05-07 07:36:38,"Soil",2019-05-03 18:00:00,NA,1,NA,"2019-09-01","19050410073832002019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1905041506092924","19050713151274",2019-05-08 02:34:12,"Soil",2019-05-03 18:00:00,NA,1,"Just recorded presence/absence of vegetation; did not specify type of vegetative cover","2019-09-01","19050415060929242019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1905160751128978","1905191430222432",2019-05-21 10:22:23,"Soil",2019-05-15 18:00:00,NA,1,"Line 2 position 4 moved to 6 meters due to bedrock from 3-5.6m.","2019-09-01","19051607511289782019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1905171447318028","1905210925513801",2019-05-21 10:06:19,"Soil",2019-05-16 18:00:00,NA,1,"All peds collected and tested wet. Shrub blocking position 20 on line 2.","2019-09-01","19051714473180282019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1905181053239335","1905211104554689",2019-05-21 09:25:56,"Soil",2019-05-17 18:00:00,NA,1,"A notable amount of material floated for each ped; hydrophobic behavior.","2019-09-01","19051810532393352019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1905191632259994","1905211141528081",2019-05-21 09:04:53,"Soil",2019-05-18 18:00:00,NA,1,"Peds collected when wet","2019-09-01","19051916322599942019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1905170856255989","1905211227439213",2019-05-21 08:53:46,"Soil",2019-05-16 18:00:00,NA,1,"A lot of duff on line 3.","2019-09-01","19051708562559892019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1905301809426003","1906011651449004",2019-06-04 08:04:53,"Soil",2019-05-29 18:00:00,NA,1,"Entire plot covered in gravel/rock fragments.","2019-09-01","19053018094260032019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1905311603202029","1906011744423755",2019-06-04 07:53:55,"Soil",2019-05-30 18:00:00,NA,1,NA,"2019-09-01","19053116032020292019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906011204086290","1906011805003106",2019-09-24 04:23:08,"Soil",2019-05-31 18:00:00,NA,1,"Line 1: 1.8m - 10.4m is completely bedrock, 14.1m - 20.65m is also completely bedrock, 23.5 ped was wet.
Line 2: Bedrock begins at 3.8m and ends at 8m.
Line 3: 8m point has bedrock.
Fine roots running through most of the soil where peds were collected.","2019-09-01","19060112040862902019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906031315071291","1906031707318879",2019-06-04 07:43:09,"Soil",2019-06-02 18:00:00,NA,1,"Cryptobiotic soil throughout plot.","2019-09-01","19060313150712912019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906030856443186","1906031844469158",2019-06-04 06:47:52,"Soil",2019-06-02 18:00:00,NA,1,"Line 1: Cryptocrust at 20m. Line 3: 8m covered in duff; cobble at 12m.","2019-09-01","19060308564431862019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906021342463961","1906031910343886",2019-09-24 04:20:40,"Soil",2019-06-01 18:00:00,NA,1,"Large stretches of bedrock dominate the plot. Line 1 position 20 moved to 21 due to bedrock covering until 21 m; position 24 not collected and scored an automatic 6 because bedrock from 22.5 m to 25  m. Line 2: bedrock begins at 9.3m and lasts until 19m; bedrock 20.1 to 25m. Line 3: bedrock 8.30 to 25 m.","2019-09-01","19060213424639612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906020720396286","1906031931206984",2019-06-12 04:34:09,"Soil",2019-06-01 18:00:00,NA,1,"Line 2: Stone at 4 m; cobble at 20 m. Line 3: Cobble at 20 m.","2019-09-01","19060207203962862019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906131344401003","1906151848281178",2019-07-01 02:59:18,"Soil",2019-06-12 18:00:00,NA,1,"Line 2: Position 12 covered by shrub; Line 3: Position 8 covered by shrub","2019-09-01","19061313444010032019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906140739514785","1906151940128828",2019-07-01 02:42:46,"Soil",2019-06-13 18:00:00,NA,1,NA,"2019-09-01","19061407395147852019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"190614125423502","1906151956436771",2019-07-01 03:11:19,"Soil",2019-06-13 18:00:00,NA,1,"L3: Shrub at 12 meters","2019-09-01","1906141254235022019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906151240298079","1906152015303881",2019-07-01 03:17:25,"Soil",2019-06-14 18:00:00,NA,1,NA,"2019-09-01","19061512402980792019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906150753312136","1906152030217454",2019-07-01 02:50:02,"Soil",2019-06-14 18:00:00,NA,1,"Plot covered in cryptobiotic crust.
Line 1: position 8 moved due to crust. Line 2: position 24 moved due to crust.","2019-09-01","19061507533121362019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906170729593194","1906190949499786",2019-07-01 02:30:33,"Soil",2019-06-16 18:00:00,NA,1,NA,"2019-09-01","19061707295931942019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906160933257663","1906191010005783",2019-06-19 06:24:59,"Soil",2019-06-15 18:00:00,NA,1,"Line 2: bunchgrass at 24 m","2019-09-01","19061609332576632019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906291026374906","190630095223324",2019-09-24 04:16:15,"Soil",2019-06-28 18:00:00,NA,1,"Plot mostly bedrock and cryptobiotic soil. L1 position 8 has cryptobiotic soil, L1 Position 12 moved to 13 due to bedrock. L1 position 16 and 20 was cryptobiotic soil. L2 position 8 has cryptobiotic soil. L2 position 12 moved due to bedrock. L2: 20-25 m all bedrock. L3 position 4 had cryptobiotic soil. L3 position 8-11.2 bedrock.","2019-09-01","19062910263749062019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906281404569600","1906301042432425",2019-06-30 07:07:03,"Soil",2019-06-27 18:00:00,NA,1,"Have patches of cryptobiotic soil throughout plot. L3 position 20 covered by shrub.","2019-09-01","19062814045696002019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1906180744329357","1907010939228688",2019-07-01 04:08:55,"Soil",2019-06-17 18:00:00,NA,1,NA,"2019-09-01","19061807443293572019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1907120726577165","190716093154231",2019-07-17 03:17:55,"Soil",2019-07-11 18:00:00,NA,1,"Crytocrusts throughout plot.","2019-09-01","19071207265771652019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"190711140649226","1907161034073859",2019-07-17 03:22:29,"Soil",2019-07-10 18:00:00,NA,1,"L3 p8: cryptocrust, L3p24: stone.","2019-09-01","1907111406492262019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1907130718234316","1907161126208098",2019-07-17 03:27:25,"Soil",2019-07-12 18:00:00,NA,1,"Crypto throughout plot. L1p4: crypto, L1p12: moved due to shrub, L1p16: crypto. L2p4: moved due to shrub. L3p20 and 24: crypto.","2019-09-01","19071307182343162019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1907131309395217","1907161156152276",2019-07-17 03:10:35,"Soil",2019-07-12 18:00:00,NA,1,NA,"2019-09-01","19071313093952172019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1907110806586207","1907161222113928",2019-09-24 04:13:47,"Soil",2019-07-10 18:00:00,NA,1,"L1 boulder at 16 m; L2 boulder at 24 m","2019-09-01","19071108065862072019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1907140744399763","1907161252218651",2019-07-17 03:43:18,"Soil",2019-07-13 18:00:00,NA,1,NA,"2019-09-01","19071407443997632019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1907150731326564","190716130951584",2019-07-17 04:55:13,"Soil",2019-07-14 18:00:00,NA,1,"Line positions inconsistent due to large swaths of bedrock throughout entire line. L2 had tree base at 16 meters. L3 had bedrock covering end of transect- positions inconsistent","2019-09-01","19071507313265642019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
"1907121234025592","1907161334404518",2019-07-17 05:01:23,"Soil",2019-07-11 18:00:00,NA,1,"Crypto throughout plot. Moved L2 P20 due to stone; crypto at L3 P8 and P12","2019-09-01","19071212340255922019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:36,"DBROWNING",2020-05-06 11:49:36
