"SpeciesCode","ScientificName","Family","GrowthHabit","GrowthHabitSub","Duration","Noxious","SG_Group","SynonymOf","created_user","created_date","last_edited_user","last_edited_date","GlobalID","CommonName","DateLoadedInDb","SpeciesState","Notes","UpdatedSpeciesCode","AllCalcs"
"ABBA","Abies balsamea (L.) Mill. ","Pinaceae",NA,NA,NA,"NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{D986DB6F-2148-47AA-AFFB-F644963B9CDE}","balsam fir","2018-09-01","UT","Not found in Utah",NA,NA
"ABBI3","Abies bifolia A. Murray bis","Pinaceae","Woody","Tree","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{4E4E82E4-6784-484D-BEBC-2805A9E999F1}","subalpine fir","2018-09-01","UT",NA,"ABLAL",NA
"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","Pinaceae","Woody","Tree","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{7C3F7BEA-02A6-4CB6-8F0B-F40710C93C37}","white fir","2018-09-01","UT",NA,"PRLOL",NA
"ABLA","Abies lasiocarpa (Hook.) Nutt.","Pinaceae","Woody","Tree","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{4326C19A-D16E-4653-B219-82EFA4731D44}","subalpine fir","2018-09-01","UT",NA,NA,NA
"ABLAB","Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba","Pinaceae","Woody","Tree","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{653CED8E-FDB5-4591-8B17-8BC626223B11}","subalpine fir","2018-09-01","UT",NA,"ABLAL",NA
"ABLAA","Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon","Pinaceae","Woody","Tree","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{F88AED94-09B3-4C7C-985D-E2CED095C4F0}","corkbark fir","2018-09-01","UT",NA,"PRLOL",NA
"ABLAB2","Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.","Pinaceae","Woody","Tree","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{112CF800-9EEE-44AF-84D9-E1D90770766A}","subalpine fir","2018-09-01","UT",NA,"ABLAL",NA
"ABLAL","Abies lasiocarpa var. lasiocarpa","Pinaceae","Woody","Tree","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{B0C3D225-72B3-4897-A63E-ACA33625CC24}","subalpine fir","2018-09-01","UT",NA,NA,NA
"ABIES","Abies Mill.","Pinaceae","Woody","Tree","Perennial","NO",NA,NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{72EA40BD-7430-4AC4-BCDD-3D7BC258A041}","fir","2018-09-01","UT",NA,NA,NA
"ABAR","Abronia argillosa S.L. Welsh & Goodrich","Nyctaginaceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{1506DCFF-5319-4583-A946-C7B7B176CEC8}","clay sand verbena","2018-09-01","UT",NA,"NAGUG",NA
"ABEL","Abronia elliptica A. Nelson","Nyctaginaceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{F1AC61AC-B250-45C0-966B-E4B1C3C6ED73}","fragrant white sand verbena","2018-09-01","UT",NA,NA,NA
"ABFR2","Abronia fragrans Nutt. ex Hook.","Nyctaginaceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{A3D78790-DAAF-4BC6-B459-E48E76EBEC8A}","snowball sand verbena","2018-09-01","UT",NA,NA,NA
"ABRON","Abronia Juss.","Nyctaginaceae","NonWoody","Forb","Perennial","NO","PreferredForb",NA,"ILMOCAIMDBO",2022-10-31 10:16:44,"ILMOCAIMDBO",2022-10-31 10:16:44,"{FA29765A-5A44-47C7-AA66-BB07B3693392}","sand verbena","2018-09-01","UT",NA,NA,NA
