"SpeciesCode","ScientificName","CommonName","Family","SortSeq","synonymOf","GrowthHabitCode","Duration","Stabilizing","DateModified","DateFound","PlotFirstFound","PotentialGenus","PotenialSpecies","PotentialSubspecies","Comments","PhotosTaken","PhotoNumbers","SpecimenCollected","IdentifiedTo","FinalCode","ChangedInDIMA","petalsNumber","petalsColor","petalsSize","sepalsNumber","sepalsColor","sepalsSize","stamensNumber","stamensColor","stamensSize","glumesPresent","ligulesPresent","Noxious","SG_Group","DBKey","DateLoadedInDb","created_user","created_date","last_edited_user","last_edited_date","GlobalID","GrowthHabit","GrowthHabitSub"
"AF00","Annual Forb Dead Beyond Recognition","Annual Forb Dead Beyond Recognition",NA,99,NA,"5","Annual",0,1999-12-31 17:01:00,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{E6AD357E-E082-43E8-AC32-50B1E43BB647}",NA,NA
"AF1601","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-09-05 07:10:21,2019-04-22 18:00:00,"1904230855013196","cryptantha",NA,NA,"small white flowers. Multiple 2cm long stms coming from base. Laceolte lvs, spine tipped 1 cm long.",1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{352EEA0C-68A8-4AF7-BE14-636D0989CB3B}",NA,NA
"AF1602","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-05-15 03:13:05,2019-04-23 18:00:00,"1904240853192608","cryptantha",NA,NA,NA,0,NA,0,"Cryptantha gracilis","CRGR3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{D51F9269-2C54-45FC-A7D1-1065CF16242F}",NA,NA
"AF1603","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-05-02 02:39:06,2019-05-01 18:00:00,"1905020836188041","cryptantha",NA,NA,"short w tiny blue flowers",0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{0F726F76-410B-456B-B373-8E248E6E1BEE}",NA,NA
"AF1604","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-05-15 03:05:26,2019-05-01 18:00:00,"1905020836188041",NA,NA,NA,"looks like mini PSLA with yellow flowers. Lvs very fragrant when crushed. Lvs three lobed.",1,NA,0,"Cleomella palmeriana","CLPA",1,NA,NA,NA,NA,NA,NA,NA,"yellow",NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{2909D447-629E-4E12-95CD-20181FAFF446}",NA,NA
"AF1605","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-05-15 03:06:34,2019-05-01 18:00:00,"1905021444547115",NA,NA,NA,"same as pf1603",1,NA,1,"Gilia sinuata","GISI",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{0A892A21-DAB9-4110-B74E-CF5E8736F8E0}",NA,NA
"AF1606","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-05-15 03:06:02,2019-05-01 18:00:00,"1905021444547115","Erigeron",NA,NA,"Erigeron. White flower. Many infl. Still in bud. Erigeron pumilis.",1,NA,1,"Chaetoppapa ericodes","CHER",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{F2AEEA0B-55E1-4F4E-85FE-C92976670412}",NA,NA
"AF1607","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-05-02 10:30:26,2019-05-01 18:00:00,"1905021444547115",NA,NA,NA,"purple flower. Five petals. Two inches tall.",1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{59F7735A-8AED-4061-A2EC-073F987DE87C}",NA,NA
"AF1608","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-06-30 11:25:12,2019-05-02 18:00:00,"1905021444547115","cryptantha",NA,NA,"white crypt. Many flowering heads and stalks.",1,NA,1,"Cryptantha torreyana","CRTO4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{272A598C-D6D9-4976-A020-F25722BD451B}",NA,NA
"AF1609","Annual Forb","Annual Forb",NA,99,NA,"5","Annual",0,2019-09-04 05:26:14,2019-05-02 18:00:00,"1905031204175116","cryptantha",NA,NA,"Same as PF1628
BLM Id'd as CRFE3",1,NA,1,"CRFE3","CRFE3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","2019-09-01","DBROWNING",2020-05-06 11:51:00,"DBROWNING",2020-05-06 11:51:00,"{73ED274B-5BB2-44E5-9AA2-5293130E4A9B}",NA,NA
