PrimaryKey,SandyESG
1611141556434902016-09-01,yes
16111616402732582016-09-01,yes
16102714453525922016-09-01,yes
16090712373970722016-09-01,yes
16101214200883052016-09-01,yes
16101308525035072016-09-01,yes
16100310170018152016-09-01,yes
16081712471161842016-09-01,yes
16082509252268562016-09-01,yes
16120115331089512016-09-01,yes
16112311152389002016-09-01,yes
16112312420512502016-09-01,yes
16111616413783122016-09-01,yes
16111616433990922016-09-01,yes
16100510513021652016-09-01,yes
16100515373142542016-09-01,yes
16101710150739482016-09-01,yes
16111616411999302016-09-01,yes
16101914152397652016-09-01,yes
1609071345385512016-09-01,yes
16090715080974402016-09-01,yes
16090814021780972016-09-01,yes
16091514123243082016-09-01,yes
16081513041892142016-09-01,yes
16081709161231012016-09-01,yes
1610040933567712016-09-01,yes
16103116133681472016-09-01,yes
16110308174761592016-09-01,yes
16080508464174862016-09-01,yes
16080909153224072016-09-01,yes
16092913305366702016-09-01,yes
16092914272089492016-09-01,yes
16100313165889972016-09-01,yes
16110311203199692016-09-01,yes
16110816162981262016-09-01,yes
17120408421048582017-09-01,yes
17120410561463082017-09-01,yes
17120109184541602017-09-01,yes
17120113560428622017-09-01,yes
17120319172360002017-09-01,yes
17110115314049412017-09-01,yes
17110616112979972017-09-01,yes
17100816023552872017-09-01,yes
17101616020163562017-09-01,yes
17111816320841742017-09-01,yes
17121912332668922017-09-01,yes
17120614042441072017-09-01,yes
17120616422840332017-09-01,yes
17120707534774512017-09-01,yes
17120708540421792017-09-01,yes
17120709325055792017-09-01,yes
17121914180733002017-09-01,yes
17102312015948222017-09-01,yes
18010407164069142017-09-01,yes
1801050806219792017-09-01,yes
18010508303074152017-09-01,yes
18010509144649772017-09-01,yes
18010509452916612017-09-01,yes
18010510564676862017-09-01,yes
18010511345121322017-09-01,yes
17102310064053812017-09-01,yes
17102310271841322017-09-01,yes
17102310451212652017-09-01,yes
17102311070931422017-09-01,yes
17100314422263752017-09-01,yes
17110811013456452017-09-01,yes
17110812471081502017-09-01,yes
17110813561551782017-09-01,yes
18010514045283942017-09-01,yes
18010514141989402017-09-01,yes
18010514592237542017-09-01,yes
17100808351239492017-09-01,yes
1708210757216432017-09-01,yes
17090813301867912017-09-01,yes
1708101559494342017-09-01,yes
17081715524538602017-09-01,yes
17091114580161472017-09-01,yes
17080816441181412017-09-01,yes
17081009553679232017-09-01,yes
17082410382822082017-09-01,yes
17080914104578892017-09-01,yes
17083111250868632017-09-01,yes
17082310102561542017-09-01,yes
17083113053717282017-09-01,yes
17100810032860442017-09-01,yes
17081409463175532017-09-01,yes
1000000032018-09-01,yes
1000000772018-09-01,yes
