Date,0,1,2,3,4,5,-1,-2,-3,-4,-5,null
2015-01-05,289,361,6922,2283,448,92,0,0,0,0,0,0
2015-01-10,416,449,7239,2055,227,9,0,0,0,0,0,0
2015-01-15,374,360,6911,2502,233,15,0,0,0,0,0,0
2015-01-20,334,382,6874,2331,441,33,0,0,0,0,0,0
2015-01-25,178,285,6637,2761,426,108,0,0,0,0,0,0
2015-01-30,134,237,7182,2384,409,49,0,0,0,0,0,0
2015-02-04,140,195,6780,2688,433,159,0,0,0,0,0,0
2015-02-09,239,312,6486,2797,456,105,0,0,0,0,0,0
2015-02-14,457,359,5944,2957,475,203,0,0,0,0,0,0
2015-02-19,491,632,5874,2781,387,230,0,0,0,0,0,0
2015-02-24,649,705,5941,2577,401,122,0,0,0,0,0,0
2015-03-01,638,516,5892,2370,686,293,0,0,0,0,0,0
2015-03-06,703,459,5880,2429,790,134,0,0,0,0,0,0
2015-03-11,928,555,5838,2269,733,72,0,0,0,0,0,0
2015-03-16,2785,448,5229,1604,329,0,0,0,0,0,0,0
2015-03-21,3387,873,5067,462,543,62,1,0,0,0,0,0
2015-03-26,3537,1024,4490,600,733,9,2,0,0,0,0,0
2015-03-31,3399,1016,4620,512,825,22,1,0,0,0,0,0
2015-04-05,3239,884,4525,647,315,781,2,2,0,0,0,0
2015-04-10,3190,1200,3785,982,310,918,4,6,0,0,0,0
2015-04-15,2752,720,4106,1259,363,1187,6,2,0,0,0,0
2015-04-20,3255,910,3477,1467,779,500,3,4,0,0,0,0
2015-04-25,2987,848,4025,1415,660,456,1,3,0,0,0,0
2015-04-30,2666,674,4285,1810,471,486,0,3,0,0,0,0
2015-05-05,2970,723,4697,1933,57,7,6,2,0,0,0,0
2015-05-10,2462,806,5473,1638,11,1,3,1,0,0,0,0
2015-05-15,1711,1056,4204,3235,165,22,2,0,0,0,0,0
2015-05-20,1731,1020,3438,4076,114,15,1,0,0,0,0,0
2015-05-25,1409,960,2785,5196,44,0,1,0,0,0,0,0
2015-05-30,1231,600,3005,5434,125,0,0,0,0,0,0,0
2015-06-04,1304,659,2686,5696,50,0,0,0,0,0,0,0
2015-06-09,708,619,2322,6719,27,0,0,0,0,0,0,0
2015-06-14,688,531,2105,7008,63,0,0,0,0,0,0,0
2015-06-19,760,562,1522,6799,720,32,0,0,0,0,0,0
2015-06-24,725,410,1883,6016,1310,51,0,0,0,0,0,0
2015-06-29,501,276,1678,6753,1064,123,0,0,0,0,0,0
2015-07-04,180,186,1890,6398,1662,79,0,0,0,0,0,0
2015-07-09,118,93,1400,5288,3157,339,0,0,0,0,0,0
2015-07-14,88,104,1158,5290,2964,791,0,0,0,0,0,0
2015-07-19,40,39,1130,5034,2882,1270,0,0,0,0,0,0
